"","Amamu1","Canalb1","Neucr4830_1","Neucr_trp3_1","SacceM3707_1","SacceM3836_1","SacceM3837_1","SacceM3838_1","SacceM3839_1"
"1.-.-.-",63.4356762243085,0,9.92063492063492,67.9611650485437,50.093926111459,50.125313283208,50.2354788069074,49.9531689041524,50.2197112366604
"1.1.-.-",10.1497081958894,15.5460551884959,19.8412698412698,9.70873786407767,6.26174076393237,6.265664160401,6.27943485086342,6.24414611301904,6.27746390458255
"1.1.1.-",334.940370464349,93.2763311309755,238.095238095238,436.893203883495,488.415779586725,488.721804511278,489.795918367347,487.043396815485,414.312617702448
"1.1.1.1",76.1228114691703,97.1628449280995,66.1375661375661,109.223300970874,78.2717595491547,78.3208020050125,78.4929356357928,78.0518264127381,78.4682988072819
"1.1.1.100",20.2994163917787,7.77302759424796,36.3756613756614,36.4077669902913,3.13087038196619,3.1328320802005,3.13971742543171,3.12207305650952,3.13873195229127
"1.1.1.101",2.53742704897234,11.6595413913719,13.2275132275132,4.85436893203883,3.13087038196619,3.1328320802005,3.13971742543171,3.12207305650952,3.13873195229127
"1.1.1.102",2.53742704897234,3.88651379712398,3.30687830687831,0,3.13087038196619,3.1328320802005,3.13971742543171,3.12207305650952,3.13873195229127
"1.1.1.125",5.07485409794468,3.88651379712398,9.92063492063492,7.28155339805825,0,0,0,0,0
"1.1.1.14",12.6871352448617,0,9.92063492063492,9.70873786407767,3.13087038196619,3.1328320802005,3.13971742543171,3.12207305650952,3.13873195229127
"1.1.1.146",15.2245622938341,0,0,9.70873786407767,0,0,0,0,0
"1.1.1.157",5.07485409794468,0,6.61375661375661,4.85436893203883,0,0,0,0,0
"1.1.1.169",2.53742704897234,7.77302759424796,13.2275132275132,2.42718446601942,6.26174076393237,6.265664160401,6.27943485086342,6.24414611301904,6.27746390458255
"1.1.1.170",2.53742704897234,3.88651379712398,6.61375661375661,2.42718446601942,3.13087038196619,3.1328320802005,3.13971742543171,3.12207305650952,3.13873195229127
"1.1.1.179",2.53742704897234,0,0,2.42718446601942,0,0,0,0,0
"1.1.1.184",20.2994163917787,0,0,14.5631067961165,0,0,0,0,0
